Catégorie,Item,Description,Quantité,Prix Unitaire (€),Coût Matériel (€),Installation (€),Mise en Service (€),Total (€),Notes
Central Hub,Orange Pi 3 LTS,Central gateway board 2GB RAM,1,65.00,65.00,0.00,15.00,80.00,Alternative: RPi 4 (80€)
Central Hub,LoRa Module SX1278,868MHz EU LoRa transceiver,1,8.00,8.00,5.00,5.00,18.00,Connecté via SPI
Central Hub,Antenne LoRa,868MHz antenna 3dBi,1,5.00,5.00,5.00,0.00,10.00,Externe boîtier
Central Hub,Boîtier Hub,3D printed case + ventilation,1,15.00,15.00,5.00,0.00,20.00,Sous-traitance impression
Central Hub,Carte microSD,64GB class 10,1,12.00,12.00,0.00,0.00,12.00,OS + storage local
Central Hub,Alimentation USB-C,USB-C PD 5V 3A,1,10.00,10.00,0.00,0.00,10.00,Universelle
,,Sous-total Hub Central,,,115.00,15.00,20.00,150.00,

Sensor Node Internal,Raspberry Pi Zero 2 W,Compact SBC WiFi/BT,3,18.00,54.00,0.00,20.00,74.00,1 par pièce principale
Sensor Node Internal,Capteur CO2 MH-Z19B,NDIR CO2 sensor 0-5000ppm,2,22.00,44.00,5.00,10.00,59.00,Salon + Cuisine
Sensor Node Internal,Capteur BME280,Temp/Humidity/Pressure I2C,3,6.00,18.00,0.00,5.00,23.00,1 par node
Sensor Node Internal,Capteur Mouvement PIR,Motion detection,1,3.00,3.00,5.00,0.00,8.00,Chambre only
Sensor Node Internal,LoRa Module SX1278,868MHz pour mesh local,3,8.00,24.00,5.00,10.00,39.00,Communication hub
Sensor Node Internal,Boîtiers sensor nodes,3D printed cases,3,10.00,30.00,5.00,0.00,35.00,Design custom
Sensor Node Internal,Cartes microSD,32GB class 10,3,8.00,24.00,0.00,0.00,24.00,OS nodes
Sensor Node Internal,Alimentations USB-C,5V 2A par node,3,8.00,24.00,10.00,0.00,34.00,Installation câblage
,,Sous-total Sensor Nodes Int,,,221.00,30.00,45.00,296.00,

Sensor Node External,Raspberry Pi Pico W,Microcontroller WiFi,1,7.00,7.00,0.00,10.00,17.00,Low power outdoor
Sensor Node External,Capteur BME280,Temp/Humidity/Pressure ext,1,6.00,6.00,0.00,5.00,11.00,Weatherproof
