Catégorie,Item,Type,Coût Initial (€),Coût Mensuel (€),Installation (€),Configuration (€),Total Première Année (€),Notes
LoRa Mesh Local,Modules LoRa SX1278,Hardware,56.00,0.00,25.00,30.00,111.00,7 modules (1 hub + 3 int + 1 ext + 1 control + 1 spare)
LoRa Mesh Local,Antennes 868MHz,Hardware,35.00,0.00,15.00,0.00,50.00,7 antennes externes
LoRa Mesh Local,Configuration Mesh,Service,0.00,0.00,0.00,40.00,40.00,Setup réseau P2P + routing
LoRa Mesh Local,Tests portée,Service,0.00,0.00,0.00,20.00,20.00,Validation couverture site
LoRa Mesh Local,,Sous-total LoRa Mesh,91.00,0.00,40.00,90.00,221.00,Communication locale toujours active

LoRaWAN TTN,Gateway TTN (optionnel),Hardware,0.00,0.00,0.00,0.00,0.00,Hub agit comme gateway
LoRaWAN TTN,Abonnement TTN,Service,0.00,0.00,0.00,0.00,0.00,The Things Network - GRATUIT
LoRaWAN TTN,Configuration Gateway,Service,0.00,0.00,0.00,15.00,15.00,Enregistrement TTN + setup
LoRaWAN TTN,API Integration,Service,0.00,0.00,0.00,25.00,25.00,Webhooks → Cloud platform
LoRaWAN TTN,,Sous-total LoRaWAN,0.00,0.00,0.00,40.00,40.00,Backup WAN gratuit EU

WiFi Primary,Router WiFi,Hardware,0.00,0.00,0.00,0.00,0.00,Existant sur site client
WiFi Primary,Configuration Réseau,Service,0.00,0.00,0.00,30.00,30.00,DHCP reservations + firewall
WiFi Primary,Sécurité WiFi,Service,0.00,0.00,0.00,20.00,20.00,WPA3 + segmentation réseau
WiFi Primary,Internet Client,Service,0.00,35.00,0.00,0.00,420.00,Connexion internet existante (estimation)
WiFi Primary,,Sous-total WiFi,0.00,35.00,0.00,50.00,470.00,Uplink principal rapide

IPFS Local,Configuration Node,Service,0.00,0.00,0.00,40.00,40.00,Setup IPFS sur hub
IPFS Local,Storage Local,Hardware,12.00,0.00,0.00,5.00,17.00,Carte SD 64GB hub
IPFS Local,Pinning Service (optionnel),Service Cloud,0.00,5.00,0.00,10.00,70.00,Pinata/Infura backup cloud
IPFS Local,Gateway Configuration,Service,0.00,0.00,0.00,15.00,15.00,Public gateway access
IPFS Local,,Sous-total IPFS,12.00,5.00,0.00,70.00,142.00,Storage décentralisé résilient

Cloud Services,Cloudflare,Service Cloud,0.00,0.00,0.00,10.00,10.00,Plan gratuit (edge + CDN)
Cloud Services,Vercel,Service Cloud,0.00,0.00,0.00,5.00,5.00,Plan gratuit (frontend)
Cloud Services,Hetzner VM,Service Cloud,0.00,15.00,0.00,20.00,200.00,CX21 (2vCPU 4GB RAM)
Cloud Services,OVH DNS,Service Cloud,0.00,0.00,0.00,10.00,10.00,Domaine déjà possédé
Cloud Services,1Password Connect,Service Cloud,0.00,8.00,0.00,15.00,111.00,Secrets management
Cloud Services,Backup Storage,Service Cloud,0.00,3.00,0.00,10.00,46.00,Object storage S3-compatible
Cloud Services,,Sous-total Cloud Services,0.00,26.00,0.00,70.00,382.00,Infrastructure cloud EU

Monitoring,Uptime Monitoring,Service,0.00,0.00,0.00,10.00,10.00,Uptime Robot / Pingdom
